review_id,claim_id,claim_family_id,review_set,claim_level,claim_type,claim_text,short_claim_text,target,feature_family,feature_space,pipeline,atlas,dataset,cohort,roi,roi_group,anatomical_group,network,network_7_like,lobe,direction,evidence_metric,evidence_value,coefficient,t_value,p_value,q_value,n_samples,n_features,support_regions,support_metrics_short,overall_label,stability_label,transfer_label,evidence_spearman,support_jaccard,direction_retention_source_support,transfer_auc_oriented,transfer_spearman_corr,related_experiment_ids,reviewer_id,reviewer_type,reviewer_specialty,plausibility_1_5,clarity_1_5,faithfulness_1_5,usefulness_1_5,reviewer_confidence_1_5,caution_level,recommended_action,corrected_claim_text,reviewer_comments
REV0011,ADNI_BASELINE_FS8_CORTICAL_VOLUME_MMSE_b901c0adbb_composite_main,ADNI_BASELINE_FS8_CORTICAL_VOLUME_MMSE_b901c0adbb,llm_extended,composite,mmse_association,"Higher MMSE is associated with higher cortical regional volume in temporal, parietal, and insula regions, after adjustment for age, sex, education, icv.","Higher MMSE is associated with higher cortical regional volume in temporal, parietal, and insula regions, after adjustment for age, sex, education, icv.",mmse,volume,fs8_cortical_volume,freesurfer8,cortical_regions,ADNI_baseline,pooled,,,,,,,higher,mean_abs_t,12.705931821071252,,,,,1272,68,,,stable_and_transferable,stable,strong,0.9082337672252546,0.052631579,0.8235294117647058,,0.392566855,E1_ADNI_TO_AIBL_VOLUME_TRANSFER; E2_ADNI_TO_OASIS_VOLUME_TRANSFER; E4_FS8_VS_FASTSURFER_VOLUME_DRIFT; E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,gemini_3_1_pro,llm,llm,5,5,5,5,5,stable,accept,,
REV0012,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE_fa1c14f686_composite_main,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE_fa1c14f686,llm_extended,composite,age_association,"Older age is associated with lower subcortical volume in 3rd-Ventricle, Left-Inf-Lat-Vent, Right-Inf-Lat-Vent, Left-Lateral-Ventricle, Right-Lateral-Ventricle, after adjustment for sex, education, icv.","Older age is associated with lower subcortical volume in 3rd-Ventricle, Left-Inf-Lat-Vent, Right-Inf-Lat-Vent, Left-Lateral-Ventricle, Right-Lateral-Ventricle, after adjustment for sex, education, icv.",age,volume,fs8_subcortical_volume,freesurfer8,subcortical,ADNI_baseline,pooled,,,,,,,lower,mean_abs_t,9.340244714564609,,,,,1299,64,,,stable_and_transferable,stable,strong,0.9496548550391168,0.1764705882352941,1,,0.8120652147517923,E1_ADNI_TO_AIBL_VOLUME_TRANSFER; E2_ADNI_TO_OASIS_VOLUME_TRANSFER; E4_FS8_VS_FASTSURFER_VOLUME_DRIFT; E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,gemini_3_1_pro,llm,llm,1,5,5,5,5,reject,reject,"Older age is associated with higher subcortical volume in 3rd-Ventricle, Left-Inf-Lat-Vent, Right-Inf-Lat-Vent, Left-Lateral-Ventricle, Right-Lateral-Ventricle, after adjustment for sex, education, icv.",Ventricles/CSF space expand in neurodegeneration; 'lower volume' is incorrect.
REV0013,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_MMSE_6b265c44ab_composite_main,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_MMSE_6b265c44ab,llm_extended,composite,mmse_association,"Higher MMSE is associated with higher subcortical volume in Left-Inf-Lat-Vent, Left-Hippocampus, Right-Inf-Lat-Vent, Right-Hippocampus, Right-Amygdala, after adjustment for age, sex, education, icv.","Higher MMSE is associated with higher subcortical volume in Left-Inf-Lat-Vent, Left-Hippocampus, Right-Inf-Lat-Vent, Right-Hippocampus, Right-Amygdala, after adjustment for age, sex, education, icv.",mmse,volume,fs8_subcortical_volume,freesurfer8,subcortical,ADNI_baseline,pooled,,,,,,,higher,mean_abs_t,8.311285954784774,,,,,1272,64,,,stable_and_transferable,stable,strong,0.9679705476300048,0.1764705882352941,1,,0.4980881652530853,E1_ADNI_TO_AIBL_VOLUME_TRANSFER; E2_ADNI_TO_OASIS_VOLUME_TRANSFER; E4_FS8_VS_FASTSURFER_VOLUME_DRIFT; E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,gemini_3_1_pro,llm,llm,5,5,5,5,5,stable,accept,,
REV0014,OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE_4afe8f975c_composite_main,OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE_4afe8f975c,llm_extended,composite,age_association,"Older age is associated with lower subcortical volume in 3rd-Ventricle, CC_Mid_Anterior, Left-Hippocampus, CSF, CC_Mid_Posterior, after adjustment for sex, education.","Older age is associated with lower subcortical volume in 3rd-Ventricle, CC_Mid_Anterior, Left-Hippocampus, CSF, CC_Mid_Posterior, after adjustment for sex, education.",age,volume,fs8_subcortical_volume,freesurfer8,subcortical,OASIS1_baseline,pooled,,,,,,,lower,mean_abs_t,8.684915556,,,,,235,64,,,stable_and_transferable,stable,strong,0.905418481,0.6666666666666666,1,,0.8120652147517923,E2_ADNI_TO_OASIS_VOLUME_TRANSFER; E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,gemini_3_1_pro,llm,llm,1,5,5,5,5,reject,reject,"Older age is associated with higher subcortical volume in 3rd-Ventricle, CC_Mid_Anterior, Left-Hippocampus, CSF, CC_Mid_Posterior, after adjustment for sex, education.",Ventricles/CSF space expand in neurodegeneration; 'lower volume' is incorrect.
REV0015,AIBL_BASELINE_FS8_CORTICAL_VOLUME_AGE_afc8e85f81_composite_main,AIBL_BASELINE_FS8_CORTICAL_VOLUME_AGE_afc8e85f81,llm_extended,composite,age_association,"Older age is associated with lower cortical regional volume in temporal, occipital, and frontal regions, after adjustment for sex.","Older age is associated with lower cortical regional volume in temporal, occipital, and frontal regions, after adjustment for sex.",age,volume,fs8_cortical_volume,freesurfer8,cortical_regions,AIBL_baseline,pooled,,,,,,,lower,mean_abs_t,6.318493260531072,,,,,1298,68,,,transferable_but_drifted,moderate,moderate,0.8999999999999998,0.3333333333333333,0.7,,0.2125863330376764,E1_ADNI_TO_AIBL_VOLUME_TRANSFER; E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,gemini_3_1_pro,llm,llm,5,5,4,4,4,tentative,accept,,
REV0016,ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_MCI_33363e6dbd_composite_main,ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_MCI_33363e6dbd,llm_extended,composite,diagnosis_contrast,"MCI is associated with lower cortical regional volume in temporal, parietal, and frontal regions compared with CN, after adjustment for age, sex, education, icv.","MCI is associated with lower cortical regional volume in temporal, parietal, and frontal regions compared with CN, after adjustment for age, sex, education, icv.",diagnosis_binary_mci_cn,volume,fs8_cortical_volume,freesurfer8,cortical_regions,ADNI_baseline,pooled,,,,,,,lower,mean_abs_t,5.155338966569458,,,,,997,68,,,fragile,fragile,weak,0.896351137,0.025641026,0.1875,0.5672425947566304,,E1_ADNI_TO_AIBL_VOLUME_TRANSFER; E4_FS8_VS_FASTSURFER_VOLUME_DRIFT; E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,gemini_3_1_pro,llm,llm,5,5,2,4,4,fragile,major_revise,, Low stability.
REV0017,AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_AD_c7233d1166_atomic_roi_Right-Accumbens-area,AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_AD_c7233d1166,llm_extended,atomic_roi,diagnosis_contrast,"AD is associated with lower Right-Accumbens-area subcortical volume compared with CN, after adjustment for age, sex.","AD is associated with lower Right-Accumbens-area subcortical volume compared with CN, after adjustment for age, sex.",diagnosis_binary_ad_cn,volume,fs8_subcortical_volume,freesurfer8,subcortical,AIBL_baseline,pooled,Right-Accumbens-area,basal_ganglia,basal_ganglia,,,,lower,t,-10.3459474,-0.829037805,-10.3459474,5.290975014471193e-24,3.762471121401738e-23,1104,64,,,stable_and_transferable,stable,strong,0.9809940174873448,0.9047619047619048,1,0.8837495544091634,,E1_ADNI_TO_AIBL_VOLUME_TRANSFER; E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,gemini_3_1_pro,llm,llm,4,5,5,5,3,fragile,minor_revise,,
REV0018,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_AD_ddab764881_atomic_roi_RH_Default_Temp_2,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_AD_ddab764881,llm_extended,atomic_roi,diagnosis_contrast,"AD is associated with lower RH_Default_Temp_2 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.","AD is associated with lower RH_Default_Temp_2 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.",diagnosis_binary_ad_cn,thickness,spm_thickness_schaefer200_7,spm_cat12,schaefer200_7network,ADNI_SPM_MATCHED,pooled,RH_Default_Temp_2,Default,temporal,Default,,temporal,lower,t,-24.09522665,-1.063306185,-24.09522665,3.3073188256670113e-109,6.073440025315783e-108,1554,202,,,stable_and_transferable,stable,strong,1,0.6,1,0.8132431379398369,,E3_FS8_VS_SPM_THICKNESS_DRIFT,gemini_3_1_pro,llm,llm,4,5,5,5,3,fragile,minor_revise,,
REV0019,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE_fa1c14f686_atomic_roi_CC_Mid_Posterior,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE_fa1c14f686,llm_extended,atomic_roi,age_association,"Older age is associated with lower CC_Mid_Posterior subcortical volume, after adjustment for sex, education, icv.","Older age is associated with lower CC_Mid_Posterior subcortical volume, after adjustment for sex, education, icv.",age,volume,fs8_subcortical_volume,freesurfer8,subcortical,ADNI_baseline,pooled,CC_Mid_Posterior,corpus_callosum,corpus_callosum,,,,lower,t,-9.618404663,-0.260068322,-9.618404663,3.3552213939255947e-21,1.9521288110112552e-20,1299,64,,,stable_and_transferable,stable,strong,0.9496548550391168,0.1764705882352941,1,,0.8120652147517923,E1_ADNI_TO_AIBL_VOLUME_TRANSFER; E2_ADNI_TO_OASIS_VOLUME_TRANSFER; E4_FS8_VS_FASTSURFER_VOLUME_DRIFT; E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,gemini_3_1_pro,llm,llm,4,5,5,5,3,fragile,minor_revise,,
REV0020,ADNI_SPM_MATCHED_FS8_SCHAEFER7_MMSE_198f984def_atomic_roi_LH_Default_Par_4,ADNI_SPM_MATCHED_FS8_SCHAEFER7_MMSE_198f984def,llm_extended,atomic_roi,mmse_association,"Higher MMSE is associated with higher LH_Default_Par_4 Schaefer 200 7-network cortical thickness, after adjustment for age, sex, education.","Higher MMSE is associated with higher LH_Default_Par_4 Schaefer 200 7-network cortical thickness, after adjustment for age, sex, education.",mmse,thickness,fs8_thickness_schaefer200_7,freesurfer8,schaefer200_7network,ADNI_SPM_MATCHED,pooled,LH_Default_Par_4,Default,unknown_subregion,Default,,unknown,higher,t,15.980424639835425,0.2883059649962805,15.980424639835425,3.7864774733182636e-55,9.560855620128616e-54,2892,202,,,stable_and_transferable,stable,strong,0.9642857142857144,0.5384615384615384,1,,0.4319838449947505,E3_FS8_VS_SPM_THICKNESS_DRIFT,gemini_3_1_pro,llm,llm,5,5,5,5,5,stable,accept,,
REV0021,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_MCI_8a810a8b86_atomic_roi_CC_Anterior,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_MCI_8a810a8b86,llm_extended,atomic_roi,diagnosis_contrast,"MCI is associated with lower CC_Anterior subcortical volume compared with CN, after adjustment for age, sex, education, icv.","MCI is associated with lower CC_Anterior subcortical volume compared with CN, after adjustment for age, sex, education, icv.",diagnosis_binary_mci_cn,volume,fs8_subcortical_volume,freesurfer8,subcortical,ADNI_baseline,pooled,CC_Anterior,corpus_callosum,corpus_callosum,,,,lower,t,-3.029021727,-0.191580504,-3.029021727,0.002517051,0.012391635,997,64,,,stable_and_transferable,stable,moderate,0.948281345,0.1428571428571428,0.7647058823529411,0.6571208851751527,,E1_ADNI_TO_AIBL_VOLUME_TRANSFER; E4_FS8_VS_FASTSURFER_VOLUME_DRIFT; E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,gemini_3_1_pro,llm,llm,4,5,4,4,3,fragile,minor_revise,,
REV0022,AIBL_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_266a22fefe_atomic_roi_rh_bankssts,AIBL_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_266a22fefe,llm_extended,atomic_roi,diagnosis_contrast,"AD is associated with lower rh_bankssts cortical regional volume compared with CN, after adjustment for age, sex.","AD is associated with lower rh_bankssts cortical regional volume compared with CN, after adjustment for age, sex.",diagnosis_binary_ad_cn,volume,fs8_cortical_volume,freesurfer8,cortical_regions,AIBL_baseline,pooled,rh_bankssts,temporal,temporal,,,temporal,lower,t,-8.219822307,-0.662994278,-8.219822307,5.693896882398745e-16,1.9359249400155737e-15,1104,68,,,stable_and_transferable,stable,strong,0.8747184792151772,0.8181818181818182,1,0.7794241284915825,,E1_ADNI_TO_AIBL_VOLUME_TRANSFER; E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,gemini_3_1_pro,llm,llm,4,5,5,5,3,fragile,minor_revise,,
REV0023,OASIS1_BASELINE_FS8_CORTICAL_VOLUME_MMSE_5e704a8ccb_atomic_roi_rh_posteriorcingulate,OASIS1_BASELINE_FS8_CORTICAL_VOLUME_MMSE_5e704a8ccb,llm_extended,atomic_roi,mmse_association,"Higher MMSE is associated with higher rh_posteriorcingulate cortical regional volume, after adjustment for age, sex, education.","Higher MMSE is associated with higher rh_posteriorcingulate cortical regional volume, after adjustment for age, sex, education.",mmse,volume,fs8_cortical_volume,freesurfer8,cortical_regions,OASIS1_baseline,pooled,rh_posteriorcingulate,cingulate,cingulate,,,cingulate,higher,t,3.513257815323809,0.212357167,3.513257815323809,0.00053281,0.001341892,235,68,,,stable_and_transferable,stable,strong,0.7649349162117799,0.6666666666666666,1,,0.392566855,E2_ADNI_TO_OASIS_VOLUME_TRANSFER; E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,gemini_3_1_pro,llm,llm,5,5,5,5,4,stable,accept,,
REV0024,ADNI_SPM_MATCHED_FS8_SCHAEFER7_DX_CN_AD_e23c09f7c3_atomic_roi_LH_Default_Temp_4,ADNI_SPM_MATCHED_FS8_SCHAEFER7_DX_CN_AD_e23c09f7c3,llm_extended,atomic_roi,diagnosis_contrast,"AD is associated with lower LH_Default_Temp_4 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.","AD is associated with lower LH_Default_Temp_4 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.",diagnosis_binary_ad_cn,thickness,fs8_thickness_schaefer200_7,freesurfer8,schaefer200_7network,ADNI_SPM_MATCHED,pooled,LH_Default_Temp_4,Default,temporal,Default,,temporal,lower,t,-12.19534726,-0.606548628,-12.19534726,9.885166730467342e-33,9.508588950259062e-32,1554,202,,,stable_and_transferable,stable,strong,0.8928571428571429,0.6,1,0.8132431379398369,,E3_FS8_VS_SPM_THICKNESS_DRIFT,gemini_3_1_pro,llm,llm,4,5,5,5,3,fragile,minor_revise,,
REV0025,OASIS1_BASELINE_FS8_CORTICAL_VOLUME_CDR_IMPAIRMENT_9a4bc2fb06_atomic_roi_rh_bankssts,OASIS1_BASELINE_FS8_CORTICAL_VOLUME_CDR_IMPAIRMENT_9a4bc2fb06,llm_extended,atomic_roi,cdr_impairment_contrast,"CDR-defined cognitive impairment is associated with lower rh_bankssts cortical regional volume compared with CDR 0, after adjustment for age, sex, education.","CDR-defined cognitive impairment is associated with lower rh_bankssts cortical regional volume compared with CDR 0, after adjustment for age, sex, education.",diagnosis_binary_impairment_cdr,volume,fs8_cortical_volume,freesurfer8,cortical_regions,OASIS1_baseline,pooled,rh_bankssts,temporal,temporal,,,temporal,lower,t,-3.213957267,-0.402046231,-3.213957267,0.001496902,0.00598761,235,68,,,stable_and_transferable,stable,moderate,0.793335115,0.7391304347826086,1,0.6854814814814815,,E2_ADNI_TO_OASIS_VOLUME_TRANSFER; E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,gemini_3_1_pro,llm,llm,4,5,4,4,3,fragile,minor_revise,,
